INFO 2015-03-20 16:03:52,424: Saved Gbarpolu, Gbarma Centra High School (round 1): http://www.necliberia.org/senate2014/pp_results/45018.html
INFO 2015-03-20 16:03:54,508: Saved Gbarpolu, Gbarngay School (round 1): http://www.necliberia.org/senate2014/pp_results/45019.html
INFO 2015-03-20 16:03:56,605: Saved Gbarpolu, Gbelleta Public School (round 1): http://www.necliberia.org/senate2014/pp_results/45020.html
INFO 2015-03-20 16:03:58,708: Saved Gbarpolu, Gelekpasu School (round 1): http://www.necliberia.org/senate2014/pp_results/45021.html
INFO 2015-03-20 16:03:59,802: Saved Gbarpolu, Gbaryama Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45022.html
INFO 2015-03-20 16:04:00,905: Saved Gbarpolu, Gokallah Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45023.html
INFO 2015-03-20 16:04:01,995: Saved Gbarpolu, Palakwelle Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45024.html
INFO 2015-03-20 16:04:04,076: Saved Gbarpolu, Gungbe-ta School (round 1): http://www.necliberia.org/senate2014/pp_results/45025.html
INFO 2015-03-20 16:04:06,165: Saved Gbarpolu, Galahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45026.html
INFO 2015-03-20 16:04:08,263: Saved Gbarpolu, Bombohun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45027.html
INFO 2015-03-20 16:04:09,374: Saved Gbarpolu, Kelleh Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45028.html
INFO 2015-03-20 16:04:11,476: Saved Gbarpolu, Kpawolozu School (round 1): http://www.necliberia.org/senate2014/pp_results/45029.html
INFO 2015-03-20 16:04:12,573: Saved Gbarpolu, Mavordor Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45030.html
INFO 2015-03-20 16:04:14,675: Saved Gbarpolu, Kpayeakwelle Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45031.html
INFO 2015-03-20 16:04:16,781: Saved Gbarpolu, Kungbor Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45032.html
INFO 2015-03-20 16:04:17,890: Saved Gbarpolu, Gedema Public School (round 1): http://www.necliberia.org/senate2014/pp_results/45033.html
INFO 2015-03-20 16:04:20,007: Saved Gbarpolu, Vaye Town (Weamawou) Public School (round 1): http://www.necliberia.org/senate2014/pp_results/45034.html
INFO 2015-03-20 16:04:22,107: Saved Gbarpolu, Moilakwelle School (round 1): http://www.necliberia.org/senate2014/pp_results/45035.html
INFO 2015-03-20 16:04:23,212: Saved Gbarpolu, Belekpalumu Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45036.html
INFO 2015-03-20 16:04:25,362: Saved Gbarpolu, Njaiboi Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45037.html
INFO 2015-03-20 16:04:27,446: Saved Gbarpolu, Yangaya Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45038.html
INFO 2015-03-20 16:04:29,529: Saved Gbarpolu, Nomodatanau Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45039.html
INFO 2015-03-20 16:04:30,626: Saved Gbarpolu, Nyeamah School (round 1): http://www.necliberia.org/senate2014/pp_results/45040.html
INFO 2015-03-20 16:04:31,707: Saved Gbarpolu, Camp Alpha Town Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45041.html
INFO 2015-03-20 16:04:32,801: Saved Gbarpolu, Porkpa-Ta School (round 1): http://www.necliberia.org/senate2014/pp_results/45042.html
INFO 2015-03-20 16:04:34,896: Saved Gbarpolu, Karnley Town Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45043.html
INFO 2015-03-20 16:04:36,993: Saved Gbarpolu, Tarkpoimah Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45044.html
INFO 2015-03-20 16:04:39,092: Saved Gbarpolu, Smith Public School (round 1): http://www.necliberia.org/senate2014/pp_results/45045.html
INFO 2015-03-20 16:04:40,186: Saved Gbarpolu, Gelengasiasu Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45046.html
INFO 2015-03-20 16:04:42,291: Saved Gbarpolu, Kologbane Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45047.html
INFO 2015-03-20 16:04:43,393: Saved Gbarpolu, Tawalata Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45048.html
INFO 2015-03-20 16:04:44,501: Saved Gbarpolu, Henry Town Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45049.html
